schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Credit Cards,Visa Classic,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 1,500",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 5,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 4,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 10,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 12,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 25,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 5,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 7,500",,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 1,740",,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,"BDT 5,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Issuance / renewal / annual fee - Primary card,Credit Cards; Primary card,As per Note 17,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,BDT 600,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,BDT 700,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,$ 10,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,BDT 600,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Issuance / renewal / annual fee - Primary card,Debit Cards; Primary card,BDT 300,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Issuance / renewal / annual fee - Primary card,Prepaid Cards; Primary card,As per Note 9,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Issuance / renewal / annual fee - Primary card,Prepaid Cards; Primary card,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Issuance / renewal / annual fee - Primary card,Prepaid Cards; Primary card,BDT 500 or $ 10,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Issuance / renewal / annual fee - Primary card,Prepaid Cards; Primary card,BDT 800,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,Supplementary card free count,Credit Cards; Supplementary card free count,1st card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Supplementary card free count,Credit Cards; Supplementary card free count,1st card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
