schedule,category,product,charge_name,condition,amount,vat_note,source_file
Corporate,Account Maintenance,Current Account,Current Account maintenance fee,Onshore Banking; Half-yearly,BDT 300 or equivalent [for FCY Accounts],15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Current Account,Current Account maintenance fee,Offshore Banking; Half-yearly,NIL,,CORP_fees.pdf
Corporate,Account Maintenance,Corporate Account,Account closing fee,Onshore Banking,BDT 300 or equivalent (for FCY Accounts),15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Corporate Account,Account closing fee,Offshore Banking,NIL,,CORP_fees.pdf
Corporate,Account Maintenance,Account Maintenance fee - other than Current,Account Maintenance fee - other than Current,Onshore Banking; Semi-annually,BDT 500 semi-annually,15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Account Maintenance fee - other than Current,Account Maintenance fee - other than Current,Offshore Banking; Semi-annually,NIL,,CORP_fees.pdf
Corporate,Account Maintenance,Regulatory Permission,Processing regulatory permission fee,Onshore Banking,"Up to BDT 5,000-20,000",15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Regulatory Permission,Processing regulatory permission fee,Offshore Banking,Up to USD 50 to USD 200,15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Account Statement,Account statement charge,Onshore Banking,Free twice a year,,CORP_fees.pdf
Corporate,Account Maintenance,Account Statement,Account statement charge,Onshore Banking; additional,BDT 100 per statement,15% VAT applicable,CORP_fees.pdf
Corporate,Account Maintenance,Account Statement,Account statement charge,Offshore Banking,NIL,,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Stop Payment on Cheque,Stop Payment on Cheque,Onshore Banking,BDT 100,15% VAT applicable,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Stop Payment on Cheque,Stop Payment on Cheque,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Cheque Book Issue Charge,Cheque Book Issue Charge,Onshore Banking,BDT 100,15% VAT applicable,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Cheque Book Issue Charge,Cheque Book Issue Charge,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Specially Printed Cheque Book Issue Charge,Specially Printed Cheque Book Issue Charge,Onshore Banking,"At actual, first one free (25 leaves)",15% VAT applicable,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Specially Printed Cheque Book Issue Charge,Specially Printed Cheque Book Issue Charge,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Stop Payment Order Cancellation,Stop Payment Order Cancellation,Onshore Banking,At actual,15% VAT applicable,CORP_fees.pdf
Corporate,"General Charges Applicable For Od, Ca, Snd & Hpa",Stop Payment Order Cancellation,Stop Payment Order Cancellation,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,Certificates / Reports,Balance/Interest Certificates,Balance/Interest Certificates,Onshore Banking,Free for June end and December end. Up to BDT 100 for additional certificate issuance.,,CORP_fees.pdf
Corporate,Certificates / Reports,Balance/Interest Certificates,Balance/Interest Certificates,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,Certificates / Reports,Issuance of Solvency Certificate,Issuance of Solvency Certificate,Onshore Banking,Up to BDT 200,15% VAT applicable,CORP_fees.pdf
Corporate,Certificates / Reports,Issuance of Solvency Certificate,Issuance of Solvency Certificate,Offshore Banking,N/A,,CORP_fees.pdf
Corporate,Certificates / Reports,"Credit/Solvency Information (Local), if requested by third party","Credit/Solvency Information (Local), if requested by third party",Onshore Banking,BDT 200,15% VAT applicable,CORP_fees.pdf
Corporate,Certificates / Reports,"Credit/Solvency Information (Local), if requested by third party","Credit/Solvency Information (Local), if requested by third party",Offshore Banking,N/A,,CORP_fees.pdf
