schedule,category,product,charge_name,condition,amount,vat_note,source_file
"Retail","Current Account","EBL Current Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Current Account","EBL Current Plus Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Current Account","EBL Insta Current","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Current Account","EBL Expat LCY Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Current Account","Current Account products","Account closing charge","","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Current Account","Current Account products","Dormant account activation charge","","Free","","Retail-charge.pdf"
"Retail","Savings Account","EBL Power Savings Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Savings Account","Minimum balance for interest","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL High Performance Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Interesting Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Classic Savings Account","Minimum balance for interest","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Max Saver Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Platinum Plus Savings Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Women's Savings Account","Minimum balance for interest","","BDT 25,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL 50+ Savings Account","Minimum balance for interest","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Premium Savings Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Savings Plus Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Paribar","Minimum balance for interest","","BDT 10,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Sanchay Account","Minimum balance for interest","","BDT 5,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Insta Savings","Minimum balance for interest","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Easy Account","Minimum balance for interest","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Campus Account","Minimum balance for interest","","BDT 10,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Junior Savings Account","Minimum balance for interest","","BDT 10,000","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Shakti Savings Account","Minimum balance for interest","","BDT 500","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","Payroll Account","Minimum balance for interest","","As per MOU with related organization","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account maintenance fee","Balance up to BDT 10,000; half-yearly","Free","","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account maintenance fee","Balance above BDT 10,000 up to BDT 25,000; half-yearly","BDT 100","15% VAT applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account maintenance fee","Balance above BDT 25,000 up to BDT 200,000; half-yearly","BDT 200","15% VAT applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account maintenance fee","Balance above BDT 200,000 up to BDT 1,000,000; half-yearly","BDT 250","15% VAT applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account maintenance fee","Balance above BDT 1,000,000; half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Account closing charge","","BDT 200","15% VAT applicable","Retail-charge.pdf"
"Retail","Savings Account","Savings Account","Dormant account activation charge","","Free","","Retail-charge.pdf"
"Retail","Savings Account","EBL Junior Savings Account","Minimum opening balance","","BDT 100","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Campus Account","Minimum opening balance","","BDT 100","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Shakti Savings Account","Minimum opening balance","","BDT 0","VAT not applicable","Retail-charge.pdf"
"Retail","Savings Account","EBL Shakti Savings Account","Account closing charge","","Free","","Retail-charge.pdf"
"Retail","Savings Account","EBL Campus Account","Account closing charge","","BDT 100","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","EBL Global Account","Account maintenance fee","Half-yearly","BDT 300 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","EBL Mariner Account","Account maintenance fee","Half-yearly","BDT 300 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","EBL Citizen Account","Account maintenance fee","Half-yearly","BDT 300 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","EBL Expat Account","Account maintenance fee","Half-yearly","BDT 300 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","EBL Freelancer Account","Account maintenance fee","Half-yearly","Free","","Retail-charge.pdf"
"Retail","FCY Account","EBL Personal Retail Account","Account maintenance fee","Half-yearly","Free","","Retail-charge.pdf"
"Retail","FCY Account","FCY Account","Account closing charge","","BDT 300 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","FCY Account","FCY Account","Dormant account activation charge","","Free","","Retail-charge.pdf"
"Retail","FCY Account","FCY Account","Minimum balance for maintaining account","","USD 150 or equivalent Euro/GBP","VAT not applicable","Retail-charge.pdf"
"Retail","SND Account","SND Account","Minimum balance for opening/maintaining account","","BDT 10,000","VAT not applicable","Retail-charge.pdf"
"Retail","SND Account","SND Account","Account maintenance fee","Half-yearly","BDT 500","15% VAT applicable","Retail-charge.pdf"
"Retail","SND Account","SND Account","Account closing charge","","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","SND Account","SND Account","Dormant account activation charge","","Free","","Retail-charge.pdf"
"Retail","RFCD Account","RFCD Account","Minimum balance for opening/maintaining account","Any currency","EUR 500 / GBP 350 / USD 500","VAT not applicable","Retail-charge.pdf"
"Retail","RFCD Account","RFCD Account","Account maintenance fee","Any currency","Free","","Retail-charge.pdf"
"Retail","RFCD Account","RFCD Account","Account closing charge","Any currency","BDT 200 equivalent in USD/EUR/GBP","15% VAT applicable","Retail-charge.pdf"
"Retail","RFCD Account","RFCD Account","Dormant account activation charge","Any currency","Free","","Retail-charge.pdf"
"Retail","NITA Account","NITA Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","NITA Account","NITA Account","Account closing charge","","BDT 300","15% VAT applicable","Retail-charge.pdf"
"Retail","NITA Account","NITA Account","Settlement fee","On transaction amount","0.3%; minimum BDT 500; maximum BDT 5,000","15% VAT applicable","Retail-charge.pdf"
"Retail","Term Deposit","Earn First Fixed Deposit","Minimum opening balance","","BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Term Deposit","Repeat / Extra Value / 50+ Fixed Deposit","Minimum opening balance","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Term Deposit","Fixed Deposit","Minimum opening balance","","BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Term Deposit","NFCD Category A / B","Minimum opening balance","","USD 1,000 / GBP 500 or equivalent Euro","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Confidence","Monthly deposit amount","","Multiple of BDT 500; minimum BDT 500; maximum BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Women Confidence","Monthly deposit amount","","Multiple of BDT 500; minimum BDT 500; maximum BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Millionaire Scheme","Monthly deposit amount","","Depends on initial deposit and selected tenure","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Millionaire Women Scheme","Monthly deposit amount","","Depends on initial deposit and selected tenure","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Kotipoti","Monthly deposit amount","","Depends on initial deposit and selected tenure","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Multiplier","Monthly deposit amount","","Depends on initial deposit and selected tenure","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Aspire","Monthly deposit amount","","Multiple of BDT 500; minimum BDT 500; maximum BDT 100,000","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Child Future Plan","Monthly deposit amount","","Multiple of BDT 500; minimum BDT 500; maximum BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Monthly Deposit Scheme","Little Star","Monthly deposit amount","","Multiple of BDT 1,000; minimum BDT 1,000; maximum BDT 50,000","VAT not applicable","Retail-charge.pdf"
"Retail","Agent Banking Account","Current/Savings Account","Minimum opening balance","","BDT 200","VAT not applicable","Retail-charge.pdf"
"Retail","Agent Banking Account","DPS","Minimum monthly deposit","EBL Confidence / Aspire / Child Future Plan","BDT 100","VAT not applicable","Retail-charge.pdf"
"Retail","Agent Banking Account","Term Deposit","Minimum opening balance","","BDT 10,000","VAT not applicable","Retail-charge.pdf"
"Retail","Other Account Services","All Accounts","Account transaction alert fee","Per year","BDT 400","15% VAT applicable","Retail-charge.pdf"
"Retail","Other Account Services","Payroll Account","Account transaction alert fee","Per year","As per MOU with related organization","15% VAT applicable","Retail-charge.pdf"
"Retail","Other Account Services","EBL Shakti Savings Account","Account transaction alert fee","Per year","Free","","Retail-charge.pdf"
"Retail","Other Account Services","EBL Junior Account","Account transaction alert fee","Per year","Free","","Retail-charge.pdf"
"Retail","Other Account Services","EBL Campus Account","Account transaction alert fee","Per year","BDT 200","15% VAT applicable","Retail-charge.pdf"
"Retail","Statement and Certificate","Account statement and balance confirmation certificate","Statement/balance confirmation certificate","Twice a year; half-yearly and yearly; including loan","Free","","Retail-charge.pdf"
