schedule,category,product,charge_name,condition,amount,vat_note,source_file
"SME","Current Account","Current Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","Current Account","Overdraft Account","Account maintenance fee","Half-yearly","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","Current Account","SME OD/CC Account","Account maintenance fee","","Free","","SME-charge.pdf"
"SME","Current Account","Current Account","Account closing charge","","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","Current Account","Current Account","Dormant account activation charge","","Free","","SME-charge.pdf"
"SME","SND / Super HPA Account","SME Super HPA Account","Minimum balance for opening/maintaining account","","BDT 0","VAT not applicable","SME-charge.pdf"
"SME","SND / Super HPA Account","SND / Super HPA Account","Account maintenance fee","Half-yearly","BDT 500","15% VAT applicable","SME-charge.pdf"
"SME","SND / Super HPA Account","SND / Super HPA Account","Account closing charge","","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","SND / Super HPA Account","SND / Super HPA Account","Dormant account activation charge","","Free","","SME-charge.pdf"
"SME","FCY Account","FCY Account","Account maintenance fee","Equivalent foreign currency; half-yearly","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","FCY Account","FCY Account / EBL Global Account","Account closing charge","Equivalent foreign currency; half-yearly","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","FCY Account","FCY Account / EBL Global Account","Dormant account activation charge","","Free","","SME-charge.pdf"
"SME","FCY Account","Bangladesh Bank Permission under 18A of FERA","New account permission fee","Per permission","BDT 2,000","15% VAT applicable","SME-charge.pdf"
"SME","FCY Account","Bangladesh Bank Permission under 18A of FERA","Renewal application process and documentation checking fee","Per permission","BDT 1,500","15% VAT applicable","SME-charge.pdf"
"SME","FCY Account","Bangladesh Bank Permission under 18B of FERA","New account permission fee","Per permission","BDT 2,000","15% VAT applicable","SME-charge.pdf"
"SME","FCY Account","Bangladesh Bank Permission under 18B of FERA","Renewal application process and documentation checking fee","Per permission","BDT 1,500","15% VAT applicable","SME-charge.pdf"
"SME","Shubidha Account","Linked CD Account","Account maintenance fee","","Free","","SME-charge.pdf"
"SME","Shubidha Account","Shubidha Account","Account maintenance fee","Average balance below BDT 100,000; half-yearly","BDT 500","15% VAT applicable","SME-charge.pdf"
"SME","Shubidha Account","Shubidha Account","Account maintenance fee","Average balance BDT 100,000 and above","Free","","SME-charge.pdf"
"SME","Shubidha Account","Shubidha Account","Account closing charge","","BDT 300","15% VAT applicable","SME-charge.pdf"
"SME","Shubidha Account","Shubidha Account","Dormant account activation charge","","Free","","SME-charge.pdf"
"SME","EBL Protect Current Account","EBL Protect Current Account","Internet Banking facility","","Free","","SME-charge.pdf"
"SME","Term Deposits","Extra Value Fixed Deposit","Minimum opening balance","","BDT 1,000,000","VAT not applicable","SME-charge.pdf"
"SME","Term Deposits","Fixed Deposit","Minimum opening balance","","BDT 50,000","VAT not applicable","SME-charge.pdf"
"SME","Monthly Deposit Schemes","SME Equity Builder","Monthly deposit amount","","Minimum BDT 500; maximum BDT 50,000","VAT not applicable","SME-charge.pdf"
"SME","Account Statement Charges","Account Statement","Regular period statement","Twice a year; January to June and January to December","Free","","SME-charge.pdf"
"SME","Account Statement Charges","Balance Confirmation Certificate","Regular period balance confirmation certificate","Twice a year; June end and December end","Free","","SME-charge.pdf"
"SME","Account Statement Charges","Account Statement / Balance Confirmation Certificate","Additional statement and/or balance confirmation certificate","Each time","BDT 100","15% VAT applicable","SME-charge.pdf"
"SME","Account Statement Charges","Account Statement","Statement by direct mail through Contact Center","Minimum 3 working days required; each time","BDT 100 + courier/postage charge","15% VAT applicable","SME-charge.pdf"
"SME","Account Statement Charges","Account Statement","Hold mail charge","Per year","BDT 500","15% VAT applicable","SME-charge.pdf"
"SME","Account Statement Charges","GSA Application","GSA application to Bangladesh Bank","Per permission","BDT 3,000","15% VAT applicable","SME-charge.pdf"
"SME","Account Statement Charges","RTGS Fund Transfer","RTGS fund transfer fee","","BDT 100","VAT included","SME-charge.pdf"
"SME","Stop Payment","Cheque","Stop payment on cheque","Cash/clearing; per instruction","BDT 100","15% VAT applicable","SME-charge.pdf"
"SME","Stop Payment","Cheque","Stop payment cancellation","Per cancellation request","BDT 50","15% VAT applicable","SME-charge.pdf"
