business_unit,category,product,condition,rate,note,source_file
Retail,CASA Products,EBL Classic Savings,"Less than BDT 50,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Classic Savings,"BDT 50,000 < BDT 500,000",0.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Classic Savings,"BDT 500,000 < BDT 2,500,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Classic Savings,"BDT 2,500,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Insta Savings,"Less than BDT 50,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Insta Savings,"BDT 50,000 < BDT 500,000",0.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Insta Savings,"BDT 500,000 < BDT 2,500,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Insta Savings,"BDT 2,500,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Women's Savings,"Less than BDT 25,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Women's Savings,"BDT 25,000 < BDT 100,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Women's Savings,"BDT 100,000 < BDT 500,000",1.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Women's Savings,"BDT 500,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Green Account,"Less than BDT 25,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Green Account,"BDT 25,000 < BDT 100,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Green Account,"BDT 100,000 < BDT 500,000",1.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Green Account,"BDT 500,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,50 Plus Savings,"Less than BDT 50,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,50 Plus Savings,"BDT 50,000 < BDT 100,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,50 Plus Savings,"BDT 100,000 < BDT 500,000",1.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,50 Plus Savings,"BDT 500,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Super HPA,"Less than BDT 5,000,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Super HPA,"BDT 5,000,000 and above",Up to 4.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Premium Savings,"Less than BDT 100,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Premium Savings,"BDT 100,000 < BDT 1,000,000",0.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Premium Savings,"BDT 1,000,000 < BDT 2,500,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Premium Savings,"BDT 2,500,000 < BDT 5,000,000",1.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Premium Savings,"BDT 5,000,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Platinum Plus Account,"Less than BDT 100,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Platinum Plus Account,"BDT 100,000 < BDT 1,000,000",0.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Platinum Plus Account,"BDT 1,000,000 < BDT 2,500,000",1.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Platinum Plus Account,"BDT 2,500,000 < BDT 5,000,000",1.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL Platinum Plus Account,"BDT 5,000,000 and above",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"Less than BDT 2,500,000",0.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"BDT 2,500,000 < BDT 5,000,000",2.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"BDT 5,000,000 < BDT 10,000,000",3.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"BDT 10,000,000 < BDT 30,000,000",4.00%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"BDT 30,000,000 < BDT 50,000,000",5.50%,,Deposit_Rate_tab.xlsx
Retail,CASA Products,EBL High Earning Account,"BDT 50,000,000 and above",7.00%,,Deposit_Rate_tab.xlsx
Commercial,CASA Products,EBL High Earning Account - Commercial,"Less than BDT 5,000,000",0.00%,,Deposit_Rate_tab.xlsx
Commercial,CASA Products,EBL High Earning Account - Commercial,"BDT 5,000,000 < BDT 20,000,000",2.00%,,Deposit_Rate_tab.xlsx
